cod_ibge;municipio;ano;grupos_cod;grupos;populacao
3500105;Adamantina;2014;2;Médio;33862
3500105;Adamantina;2016;3;Alto;33882
3500105;Adamantina;2018;3;Alto;33888
3500105;Adamantina;2020;3;Alto;33894
3500105;Adamantina;2021;3;Alto;33869
3500204;Adolfo;2014;3;Alto;3512
3500204;Adolfo;2016;2;Médio;3490
3500204;Adolfo;2018;3;Alto;3469
3500204;Adolfo;2020;3;Alto;3447
3500204;Adolfo;2021;3;Alto;3436
3500303;Aguaí;2014;1;Baixo;33542
3500303;Aguaí;2016;1;Baixo;34242
3500303;Aguaí;2018;2;Médio;34919
3500303;Aguaí;2020;1;Baixo;35608
3500303;Aguaí;2021;1;Baixo;35885
3500402;Águas da Prata;2014;1;Baixo;7676
3500402;Águas da Prata;2016;2;Médio;7720
3500402;Águas da Prata;2018;3;Alto;7758
3500402;Águas da Prata;2020;3;Alto;7797
3500402;Águas da Prata;2021;3;Alto;7807
3500501;Águas de Lindóia;2014;3;Alto;17731
3500501;Águas de Lindóia;2016;3;Alto;17954
3500501;Águas de Lindóia;2018;4;Muito alto;18163
3500501;Águas de Lindóia;2020;3;Alto;18374
3500501;Águas de Lindóia;2021;3;Alto;18438
3500550;Águas de Santa Bárbara;2014;2;Médio;5734
3500550;Águas de Santa Bárbara;2016;3;Alto;5801
3500550;Águas de Santa Bárbara;2018;3;Alto;5865
3500550;Águas de Santa Bárbara;2020;3;Alto;5931
3500550;Águas de Santa Bárbara;2021;3;Alto;5957
3500600;Águas de São Pedro;2014;4;Muito alto;2880
3500600;Águas de São Pedro;2016;4;Muito alto;2966
3500600;Águas de São Pedro;2018;4;Muito alto;3043
3500600;Águas de São Pedro;2020;4;Muito alto;3122
3500600;Águas de São Pedro;2021;4;Muito alto;3144
3500709;Agudos;2014;1;Baixo;35199
3500709;Agudos;2016;2;Médio;35525
3500709;Agudos;2018;2;Médio;35828
3500709;Agudos;2020;2;Médio;36134
3500709;Agudos;2021;2;Médio;36255
3500758;Alambari;2014;1;Baixo;5244
3500758;Alambari;2016;1;Baixo;5426
3500758;Alambari;2018;1;Baixo;5600
3500758;Alambari;2020;1;Baixo;5779
3500758;Alambari;2021;1;Baixo;5856
3500808;Alfredo Marcondes;2014;3;Alto;3910
3500808;Alfredo Marcondes;2016;2;Médio;3919
3500808;Alfredo Marcondes;2018;2;Médio;3923
3500808;Alfredo Marcondes;2020;1;Baixo;3927
3500808;Alfredo Marcondes;2021;1;Baixo;3924
3500907;Altair;2014;1;Baixo;3907
3500907;Altair;2016;2;Médio;3951
3500907;Altair;2018;2;Médio;3994
3500907;Altair;2020;2;Médio;4036
3500907;Altair;2021;2;Médio;4052
3501004;Altinópolis;2014;2;Médio;15571
3501004;Altinópolis;2016;2;Médio;15560
3501004;Altinópolis;2018;2;Médio;15557
3501004;Altinópolis;2020;3;Alto;15553
3501004;Altinópolis;2021;3;Alto;15547
3501103;Alto Alegre;2014;2;Médio;4074
3501103;Alto Alegre;2016;2;Médio;4057
3501103;Alto Alegre;2018;3;Alto;4037
3501103;Alto Alegre;2020;1;Baixo;4017
3501103;Alto Alegre;2021;1;Baixo;4006
3501152;Alumínio;2014;2;Médio;17296
3501152;Alumínio;2016;2;Médio;17525
3501152;Alumínio;2018;3;Alto;17747
3501152;Alumínio;2020;2;Médio;17972
3501152;Alumínio;2021;2;Médio;18069
3501202;Álvares Florence;2014;2;Médio;3783
3501202;Álvares Florence;2016;3;Alto;3727
3501202;Álvares Florence;2018;3;Alto;3673
3501202;Álvares Florence;2020;3;Alto;3621
3501202;Álvares Florence;2021;3;Alto;3596
3501301;Álvares Machado;2014;1;Baixo;23583
3501301;Álvares Machado;2016;1;Baixo;23639
3501301;Álvares Machado;2018;2;Médio;23714
3501301;Álvares Machado;2020;2;Médio;23789
3501301;Álvares Machado;2021;2;Médio;23828
3501400;Álvaro de Carvalho;2014;1;Baixo;4803
3501400;Álvaro de Carvalho;2016;1;Baixo;4883
3501400;Álvaro de Carvalho;2018;1;Baixo;4962
3501400;Álvaro de Carvalho;2020;1;Baixo;5044
3501400;Álvaro de Carvalho;2021;1;Baixo;5079
3501509;Alvinlândia;2014;2;Médio;3074
3501509;Alvinlândia;2016;2;Médio;3109
3501509;Alvinlândia;2018;2;Médio;3142
3501509;Alvinlândia;2020;1;Baixo;3176
3501509;Alvinlândia;2021;1;Baixo;3190
3501608;Americana;2014;3;Alto;220545
3501608;Americana;2016;4;Muito alto;225183
3501608;Americana;2018;4;Muito alto;229283
3501608;Americana;2020;4;Muito alto;233458
3501608;Americana;2021;4;Muito alto;235075
3501707;Américo Brasiliense;2014;2;Médio;36861
3501707;Américo Brasiliense;2016;2;Médio;38030
3501707;Américo Brasiliense;2018;3;Alto;39121
3501707;Américo Brasiliense;2020;2;Médio;40243
3501707;Américo Brasiliense;2021;2;Médio;40676
3501806;Américo de Campos;2014;2;Médio;5726
3501806;Américo de Campos;2016;2;Médio;5732
3501806;Américo de Campos;2018;2;Médio;5734
3501806;Américo de Campos;2020;2;Médio;5736
3501806;Américo de Campos;2021;2;Médio;5730
3501905;Amparo;2014;3;Alto;67486
3501905;Amparo;2016;3;Alto;68260
3501905;Amparo;2018;4;Muito alto;68945
3501905;Amparo;2020;3;Alto;69639
3501905;Amparo;2021;3;Alto;69861
3502002;Analândia;2014;2;Médio;4530
3502002;Analândia;2016;3;Alto;4643
3502002;Analândia;2018;2;Médio;4746
3502002;Analândia;2020;3;Alto;4850
3502002;Analândia;2021;3;Alto;4895
3502101;Andradina;2014;3;Alto;55687
3502101;Andradina;2016;3;Alto;55831
3502101;Andradina;2018;3;Alto;55943
3502101;Andradina;2020;2;Médio;56054
3502101;Andradina;2021;2;Médio;56087
3502200;Angatuba;2014;3;Alto;23122
3502200;Angatuba;2016;3;Alto;23586
3502200;Angatuba;2018;4;Muito alto;24038
3502200;Angatuba;2020;2;Médio;24501
3502200;Angatuba;2021;2;Médio;24697
3502309;Anhembi;2014;1;Baixo;6063
3502309;Anhembi;2016;1;Baixo;6269
3502309;Anhembi;2018;2;Médio;6467
3502309;Anhembi;2020;1;Baixo;6672
3502309;Anhembi;2021;1;Baixo;6755
3502408;Anhumas;2014;3;Alto;3831
3502408;Anhumas;2016;2;Médio;3877
3502408;Anhumas;2018;2;Médio;3919
3502408;Anhumas;2020;2;Médio;3963
3502408;Anhumas;2021;2;Médio;3983
3502507;Aparecida;2014;1;Baixo;35292
3502507;Aparecida;2016;3;Alto;35432
3502507;Aparecida;2018;4;Muito alto;35570
3502507;Aparecida;2020;3;Alto;35709
3502507;Aparecida;2021;3;Alto;35744
3502606;Aparecida d'Oeste;2014;2;Médio;4317
3502606;Aparecida d'Oeste;2016;3;Alto;4253
3502606;Aparecida d'Oeste;2018;4;Muito alto;4192
3502606;Aparecida d'Oeste;2020;2;Médio;4132
3502606;Aparecida d'Oeste;2021;2;Médio;4105
3502705;Apiaí;2014;1;Baixo;24803
3502705;Apiaí;2016;1;Baixo;24695
3502705;Apiaí;2018;1;Baixo;24681
3502705;Apiaí;2020;1;Baixo;24666
3502705;Apiaí;2021;1;Baixo;24711
3502754;Araçariguama;2014;2;Médio;18694
3502754;Araçariguama;2016;2;Médio;19493
3502754;Araçariguama;2018;3;Alto;20223
3502754;Araçariguama;2020;3;Alto;20980
3502754;Araçariguama;2021;3;Alto;21289
3502804;Araçatuba;2014;2;Médio;185509
3502804;Araçatuba;2016;3;Alto;187313
3502804;Araçatuba;2018;3;Alto;188884
3502804;Araçatuba;2020;3;Alto;190469
3502804;Araçatuba;2021;3;Alto;190921
3502903;Araçoiaba da Serra;2014;2;Médio;29351
3502903;Araçoiaba da Serra;2016;2;Médio;30388
3502903;Araçoiaba da Serra;2018;3;Alto;31373
3502903;Araçoiaba da Serra;2020;2;Médio;32390
3502903;Araçoiaba da Serra;2021;2;Médio;32846
3503000;Aramina;2014;2;Médio;5301
3503000;Aramina;2016;2;Médio;5371
3503000;Aramina;2018;2;Médio;5433
3503000;Aramina;2020;1;Baixo;5496
3503000;Aramina;2021;1;Baixo;5515
3503109;Arandu;2014;1;Baixo;6135
3503109;Arandu;2016;1;Baixo;6144
3503109;Arandu;2018;1;Baixo;6154
3503109;Arandu;2020;1;Baixo;6165
3503109;Arandu;2021;1;Baixo;6168
3503158;Arapeí;2014;1;Baixo;2477
3503158;Arapeí;2016;1;Baixo;2471
3503158;Arapeí;2018;1;Baixo;2471
3503158;Arapeí;2020;1;Baixo;2471
3503158;Arapeí;2021;1;Baixo;2469
3503208;Araraquara;2014;3;Alto;217343
3503208;Araraquara;2016;3;Alto;221205
3503208;Araraquara;2018;3;Alto;224389
3503208;Araraquara;2020;3;Alto;227618
3503208;Araraquara;2021;3;Alto;228792
3503307;Araras;2014;3;Alto;123863
3503307;Araras;2016;3;Alto;126338
3503307;Araras;2018;3;Alto;128676
3503307;Araras;2020;3;Alto;131057
3503307;Araras;2021;3;Alto;131931
3503356;Arco-Íris;2014;1;Baixo;1871
3503356;Arco-Íris;2016;1;Baixo;1849
3503356;Arco-Íris;2018;2;Médio;1832
3503356;Arco-Íris;2020;2;Médio;1816
3503356;Arco-Íris;2021;2;Médio;1806
