cod_ibge;Municipio;Valor;Ano;Tipo;Valor_Estado
3500105;Adamantina;0.548;2014;IPDM;0.535
3500105;Adamantina;0.554;2016;IPDM;0.555
3500105;Adamantina;0.56;2018;IPDM;0.578
3500105;Adamantina;0.594;2020;IPDM;0.585
3500105;Adamantina;0.566;2021;IPDM;0.561
3500204;Adolfo;0.566;2014;IPDM;0.535
3500204;Adolfo;0.52;2016;IPDM;0.555
3500204;Adolfo;0.584;2018;IPDM;0.578
3500204;Adolfo;0.594;2020;IPDM;0.585
3500204;Adolfo;0.584;2021;IPDM;0.561
3500303;Aguaí;0.462;2014;IPDM;0.535
3500303;Aguaí;0.481;2016;IPDM;0.555
3500303;Aguaí;0.502;2018;IPDM;0.578
3500303;Aguaí;0.519;2020;IPDM;0.585
3500303;Aguaí;0.48;2021;IPDM;0.561
3500402;Águas da Prata;0.487;2014;IPDM;0.535
3500402;Águas da Prata;0.525;2016;IPDM;0.555
3500402;Águas da Prata;0.568;2018;IPDM;0.578
3500402;Águas da Prata;0.585;2020;IPDM;0.585
3500402;Águas da Prata;0.567;2021;IPDM;0.561
3500501;Águas de Lindóia;0.558;2014;IPDM;0.535
3500501;Águas de Lindóia;0.554;2016;IPDM;0.555
3500501;Águas de Lindóia;0.603;2018;IPDM;0.578
3500501;Águas de Lindóia;0.614;2020;IPDM;0.585
3500501;Águas de Lindóia;0.591;2021;IPDM;0.561
3500550;Águas de Santa Bárbara;0.519;2014;IPDM;0.535
3500550;Águas de Santa Bárbara;0.571;2016;IPDM;0.555
3500550;Águas de Santa Bárbara;0.587;2018;IPDM;0.578
3500550;Águas de Santa Bárbara;0.586;2020;IPDM;0.585
3500550;Águas de Santa Bárbara;0.565;2021;IPDM;0.561
3500600;Águas de Săo Pedro;0.666;2014;IPDM;0.535
3500600;Águas de Săo Pedro;0.636;2016;IPDM;0.555
3500600;Águas de Săo Pedro;0.691;2018;IPDM;0.578
3500600;Águas de Săo Pedro;0.7;2020;IPDM;0.585
3500600;Águas de Săo Pedro;0.687;2021;IPDM;0.561
3500709;Agudos;0.498;2014;IPDM;0.535
3500709;Agudos;0.535;2016;IPDM;0.555
3500709;Agudos;0.55;2018;IPDM;0.578
3500709;Agudos;0.562;2020;IPDM;0.585
3500709;Agudos;0.523;2021;IPDM;0.561
3500758;Alambari;0.438;2014;IPDM;0.535
3500758;Alambari;0.449;2016;IPDM;0.555
3500758;Alambari;0.477;2018;IPDM;0.578
3500758;Alambari;0.513;2020;IPDM;0.585
3500758;Alambari;0.48;2021;IPDM;0.561
3500808;Alfredo Marcondes;0.551;2014;IPDM;0.535
3500808;Alfredo Marcondes;0.521;2016;IPDM;0.555
3500808;Alfredo Marcondes;0.507;2018;IPDM;0.578
3500808;Alfredo Marcondes;0.518;2020;IPDM;0.585
3500808;Alfredo Marcondes;0.47;2021;IPDM;0.561
3500907;Altair;0.475;2014;IPDM;0.535
3500907;Altair;0.518;2016;IPDM;0.555
3500907;Altair;0.539;2018;IPDM;0.578
3500907;Altair;0.563;2020;IPDM;0.585
3500907;Altair;0.538;2021;IPDM;0.561
3501004;Altinópolis;0.524;2014;IPDM;0.535
3501004;Altinópolis;0.518;2016;IPDM;0.555
3501004;Altinópolis;0.522;2018;IPDM;0.578
3501004;Altinópolis;0.585;2020;IPDM;0.585
3501004;Altinópolis;0.553;2021;IPDM;0.561
3501103;Alto Alegre;0.539;2014;IPDM;0.535
3501103;Alto Alegre;0.539;2016;IPDM;0.555
3501103;Alto Alegre;0.583;2018;IPDM;0.578
3501103;Alto Alegre;0.508;2020;IPDM;0.585
3501103;Alto Alegre;0.472;2021;IPDM;0.561
3501152;Alumínio;0.53;2014;IPDM;0.535
3501152;Alumínio;0.538;2016;IPDM;0.555
3501152;Alumínio;0.588;2018;IPDM;0.578
3501152;Alumínio;0.59;2020;IPDM;0.585
