Município;População;PIB;PIB per capita;IPDM
Adamantina;33894;1256561606.0;37073.27568301174;0.594
Adolfo;3447;136701363.0;39658.06875543951;0.594
Aguaí;35608;1152443311.0;32364.730144911257;0.519
Águas da Prata;7797;186768100.0;23953.841220982427;0.585
Águas de Lindóia;18374;496876915.0;27042.392239033416;0.614
Águas de Santa Bárbara;5931;200526489.0;33809.89529590288;0.586
Águas de São Pedro;3122;137976387.0;44194.87091607944;0.7
Agudos;36134;2311348096.0;63966.01804394753;0.562
Alambari;5779;121555881.0;21034.068350925765;0.513
Alfredo Marcondes;3927;109884835.0;27981.878023936846;0.518
Altair;4036;111679064.0;27670.729435084242;0.563
Altinópolis;15553;651335252.0;41878.43194239053;0.585
Alto Alegre;4017;116811844.0;29079.37366193677;0.508
Alumínio;17972;2251140966.0;125258.23314044069;0.59
Álvares Florence;3621;112147987.0;30971.55122894228;0.623
Álvares Machado;23789;614914747.0;25848.70095422254;0.551
Álvaro de Carvalho;5044;53333113.0;10573.575138778748;0.507
Alvinlândia;3176;57585363.0;18131.41152392947;0.528
Americana;233458;12078626874.0;51737.90092436327;0.63
Américo Brasiliense;40243;1095798527.0;27229.54369704048;0.547
Américo de Campos;5736;109144600.0;19027.99860529986;0.537
Amparo;69639;4616533222.0;66292.35373856603;0.624
Analândia;4850;195982928.0;40408.85113402062;0.548
Andradina;56054;2673256245.0;47690.73116994327;0.582
Angatuba;24501;1320266583.0;53886.23252112159;0.581
Anhembi;6672;155148324.0;23253.645683453236;0.533
Anhumas;3963;82951812.0;20931.570022710068;0.567
Aparecida;35709;984473932.0;27569.35035985326;0.586
Aparecida d'Oeste;4132;155886941.0;37726.752420135526;0.613
Apiaí;24666;719086882.0;29152.95880969756;0.534
Araçariguama;20980;3218901682.0;153427.15357483318;0.583
Araçatuba;190469;8304184164.0;43598.61270862975;0.605
Araçoiaba da Serra;32390;976126384.0;30136.658968817537;0.568
Aramina;5496;155702321.0;28330.116630276563;0.52
Arandu;6165;182645594.0;29626.211516626114;0.499
Arapeí;2471;39882786.0;16140.34237150951;0.452
Araraquara;227618;10680812997.0;46924.28980572714;0.614
Araras;131057;6474427590.0;49401.61601440595;0.622
Arco-Íris;1816;84062627.0;46289.992841409694;0.552
Arealva;8196;244287968.0;29805.755002440215;0.547
Areias;3843;56804272.0;14781.231329690347;0.472
Areiópolis;10857;147089286.0;13547.875656258635;0.474
Ariranha;9320;968334144.0;103898.51330472103;0.612
Artur Nogueira;52609;1477690002.0;28088.15985857933;0.577
Arujá;89744;7633056192.0;85053.66589409877;0.571
Aspásia;1765;40018733.0;22673.50311614731;0.692
Assis;101381;3734329858.0;36834.61258026652;0.576
Atibaia;139606;7412329939.0;53094.637329341145;0.617
Auriflama;14471;325250452.0;22476.01769055352;0.61
Avaí;5288;395872958.0;74862.51096822995;0.524
Avanhandava;12114;491139121.0;40543.100627373286;0.518
Avaré;87538;2818750893.0;32200.311784596404;0.536
Bady Bassitt;16329;466219023.0;28551.596729744626;0.595
Balbinos;3704;61962408.0;16728.511879049674;0.568
Bálsamo;8524;246986061.0;28975.370835288595;0.594
Bananal;10651;203899739.0;19143.717866866962;0.429
Barão de Antonina;3383;69024444.0;20403.323677209577;0.441
Barbosa;7284;119432090.0;16396.497803404724;0.513
Bariri;33993;1369293843.0;40281.6416026829;0.599
Barra Bonita;34914;1374943656.0;39380.86887781406;0.579
Barra do Chapéu;5530;143899512.0;26021.61157323689;0.47
Barra do Turvo;7687;109166141.0;14201.397294132952;0.408
Barretos;118048;4989612998.0;42267.66228991596;0.591
Barrinha;32338;553730471.0;17123.21327849589;0.532
Barueri;264390;51254571962.0;193859.72223609063;0.653
Bastos;20301;978295698.0;48189.53243682577;0.623
Batatais;60222;2085830301.0;34635.68631065059;0.573
Bauru;364225;15180212056.0;41678.116702587686;0.589
Bebedouro;74155;3218916367.0;43407.94777155957;0.597
Bento de Abreu;2945;208534641.0;70809.72529711375;0.582
Bernardino de Campos;10787;301522163.0;27952.365161768797;0.533
Bertioga;63290;1905000150.0;30099.54416179491;0.592
Bilac;7816;267898583.0;34275.66312691914;0.619
Birigui;121329;3669342865.0;30242.91690362568;0.613
Biritiba Mirim;32338;995303880.0;30778.152019296183;0.523
Boa Esperança do Sul;14582;362180102.0;24837.477849403374;0.486
Bocaina;12135;236357656.0;19477.351133086115;0.533
Bofete;11076;204906014.0;18500.00126399422;0.527
Boituva;57292;2985664148.0;52113.10737973888;0.602
Bom Jesus dos Perdões;24291;1089688388.0;44859.75826437775;0.549
Bom Sucesso de Itararé;3861;65301329.0;16913.061124061125;0.492
Borá;812;68381873.0;84214.12931034483;0.621
Boracéia;4759;448990318.0;94345.51754570288;0.561
